mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
1.61 2 2.551e-01 2.884e-05 1.088e-05 4.611e-10 1.321e-14 4.270e-10 
1.61 3 2.546e-01 2.829e-05 1.085e-05 4.705e-10 1.292e-14 4.369e-10 
1.61 4 2.615e-01 3.213e-05 1.135e-05 4.147e-10 1.520e-14 3.762e-10 
1.71 1 2.513e-01 2.652e-05 1.059e-05 5.025e-10 1.192e-14 4.713e-10 
1.71 2 2.548e-01 2.879e-05 1.087e-05 4.613e-10 1.317e-14 4.273e-10 
1.71 3 2.542e-01 2.825e-05 1.084e-05 4.706e-10 1.289e-14 4.371e-10 
1.71 4 2.609e-01 3.204e-05 1.134e-05 4.150e-10 1.511e-14 3.767e-10 
1.81 1 2.511e-01 2.650e-05 1.059e-05 5.027e-10 1.190e-14 4.715e-10 
1.81 2 2.545e-01 2.872e-05 1.087e-05 4.616e-10 1.312e-14 4.277e-10 
1.81 3 2.540e-01 2.821e-05 1.084e-05 4.707e-10 1.285e-14 4.373e-10 
1.81 4 2.604e-01 3.196e-05 1.133e-05 4.153e-10 1.503e-14 3.772e-10 
1.91 1 2.510e-01 2.648e-05 1.058e-05 5.028e-10 1.188e-14 4.717e-10 
1.91 2 2.542e-01 2.866e-05 1.087e-05 4.619e-10 1.307e-14 4.281e-10 
1.91 3 2.537e-01 2.817e-05 1.083e-05 4.709e-10 1.282e-14 4.376e-10 
1.91 4 2.599e-01 3.187e-05 1.132e-05 4.158e-10 1.495e-14 3.778e-10 
2.01 1 2.508e-01 2.645e-05 1.058e-05 5.030e-10 1.186e-14 4.720e-10 
2.01 2 2.540e-01 2.854e-05 1.087e-05 4.637e-10 1.300e-14 4.301e-10 
2.01 3 2.535e-01 2.813e-05 1.082e-05 4.711e-10 1.278e-14 4.379e-10 
2.01 4 2.594e-01 3.179e-05 1.131e-05 4.162e-10 1.487e-14 3.784e-10 
2.11 1 2.507e-01 2.643e-05 1.058e-05 5.033e-10 1.185e-14 4.722e-10 
2.11 2 2.537e-01 2.841e-05 1.088e-05 4.656e-10 1.292e-14 4.320e-10 
2.11 3 2.532e-01 2.810e-05 1.082e-05 4.714e-10 1.275e-14 4.382e-10 
2.11 4 2.590e-01 3.171e-05 1.129e-05 4.168e-10 1.480e-14 3.791e-10 
2.21 1 2.506e-01 2.641e-05 1.057e-05 5.035e-10 1.183e-14 4.725e-10 
2.21 2 2.535e-01 2.836e-05 1.087e-05 4.661e-10 1.289e-14 4.326e-10 
2.21 3 2.530e-01 2.810e-05 1.077e-05 4.726e-10 1.274e-14 4.395e-10 
2.21 4 2.586e-01 3.162e-05 1.128e-05 4.173e-10 1.474e-14 3.799e-10 
2.31 1 2.505e-01 2.639e-05 1.057e-05 5.038e-10 1.181e-14 4.728e-10 
2.31 2 2.533e-01 2.832e-05 1.086e-05 4.666e-10 1.285e-14 4.332e-10 
2.31 3 2.529e-01 2.807e-05 1.077e-05 4.730e-10 1.271e-14 4.399e-10 
2.31 4 2.583e-01 3.154e-05 1.127e-05 4.180e-10 1.467e-14 3.807e-10 
2.41 1 2.504e-01 2.637e-05 1.056e-05 5.041e-10 1.180e-14 4.732e-10 
2.41 2 2.531e-01 2.827e-05 1.085e-05 4.672e-10 1.282e-14 4.338e-10 
2.41 3 2.527e-01 2.777e-05 1.079e-05 4.785e-10 1.257e-14 4.456e-10 
2.41 4 2.579e-01 3.146e-05 1.126e-05 4.187e-10 1.461e-14 3.815e-10 
2.51 1 2.503e-01 2.635e-05 1.056e-05 5.044e-10 1.178e-14 4.735e-10 
2.51 2 2.530e-01 2.823e-05 1.084e-05 4.678e-10 1.279e-14 4.345e-10 
2.51 3 2.525e-01 2.774e-05 1.078e-05 4.789e-10 1.254e-14 4.461e-10 
2.51 4 2.576e-01 3.139e-05 1.125e-05 4.194e-10 1.455e-14 3.824e-10 
2.61 1 2.503e-01 2.632e-05 1.056e-05 5.047e-10 1.177e-14 4.739e-10 
2.61 2 2.528e-01 2.818e-05 1.084e-05 4.684e-10 1.276e-14 4.352e-10 
2.61 3 2.524e-01 2.770e-05 1.077e-05 4.793e-10 1.252e-14 4.466e-10 
2.61 4 2.573e-01 3.131e-05 1.124e-05 4.202e-10 1.450e-14 3.833e-10 
2.71 1 2.502e-01 2.630e-05 1.055e-05 5.051e-10 1.176e-14 4.743e-10 
2.71 2 2.527e-01 2.814e-05 1.083e-05 4.690e-10 1.273e-14 4.359e-10 
2.71 3 2.523e-01 2.767e-05 1.077e-05 4.798e-10 1.250e-14 4.471e-10 
2.71 4 2.571e-01 3.123e-05 1.123e-05 4.211e-10 1.444e-14 3.843e-10 
2.81 1 2.501e-01 2.628e-05 1.055e-05 5.054e-10 1.174e-14 4.747e-10 
2.81 2 2.525e-01 2.809e-05 1.082e-05 4.697e-10 1.270e-14 4.366e-10 
2.81 3 2.522e-01 2.763e-05 1.076e-05 4.803e-10 1.247e-14 4.476e-10 
2.81 4 2.569e-01 3.115e-05 1.121e-05 4.220e-10 1.439e-14 3.853e-10 
2.91 1 2.501e-01 2.626e-05 1.054e-05 5.058e-10 1.173e-14 4.751e-10 
