mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
1.61 2 2.465e-01 2.178e-05 9.935e-06 6.193e-10 9.566e-15 5.935e-10 
1.61 3 2.467e-01 2.198e-05 9.967e-06 6.135e-10 9.667e-15 5.874e-10 
1.61 4 2.471e-01 2.070e-05 9.743e-06 6.585e-10 9.131e-15 6.338e-10 
1.71 1 2.467e-01 2.286e-05 1.010e-05 5.863e-10 1.005e-14 5.592e-10 
1.71 2 2.462e-01 2.180e-05 9.932e-06 6.177e-10 9.567e-15 5.919e-10 
1.71 3 2.465e-01 2.200e-05 9.964e-06 6.121e-10 9.664e-15 5.860e-10 
1.71 4 2.467e-01 2.070e-05 9.740e-06 6.570e-10 9.110e-15 6.323e-10 
1.81 1 2.466e-01 2.288e-05 1.010e-05 5.860e-10 1.005e-14 5.590e-10 
1.81 2 2.460e-01 2.181e-05 9.933e-06 6.168e-10 9.559e-15 5.910e-10 
1.81 3 2.462e-01 2.200e-05 9.965e-06 6.114e-10 9.653e-15 5.854e-10 
1.81 4 2.463e-01 2.070e-05 9.741e-06 6.554e-10 9.090e-15 6.307e-10 
1.91 1 2.465e-01 2.288e-05 1.010e-05 5.856e-10 1.005e-14 5.586e-10 
1.91 2 2.458e-01 2.182e-05 9.933e-06 6.158e-10 9.555e-15 5.900e-10 
1.91 3 2.460e-01 2.201e-05 9.965e-06 6.107e-10 9.645e-15 5.846e-10 
1.91 4 2.459e-01 2.070e-05 9.743e-06 6.541e-10 9.071e-15 6.293e-10 
2.01 1 2.464e-01 2.290e-05 1.009e-05 5.853e-10 1.005e-14 5.583e-10 
2.01 2 2.457e-01 2.184e-05 9.935e-06 6.149e-10 9.551e-15 5.891e-10 
2.01 3 2.459e-01 2.201e-05 9.965e-06 6.099e-10 9.639e-15 5.839e-10 
2.01 4 2.456e-01 2.070e-05 9.743e-06 6.528e-10 9.057e-15 6.281e-10 
2.11 1 2.464e-01 2.290e-05 1.009e-05 5.849e-10 1.005e-14 5.579e-10 
2.11 2 2.455e-01 2.185e-05 9.936e-06 6.141e-10 9.550e-15 5.883e-10 
2.11 3 2.457e-01 2.202e-05 9.966e-06 6.092e-10 9.634e-15 5.832e-10 
2.11 4 2.453e-01 2.070e-05 9.743e-06 6.516e-10 9.044e-15 6.270e-10 
2.21 1 2.463e-01 2.291e-05 1.010e-05 5.845e-10 1.005e-14 5.575e-10 
2.21 2 2.454e-01 2.186e-05 9.938e-06 6.132e-10 9.549e-15 5.874e-10 
2.21 3 2.456e-01 2.203e-05 9.967e-06 6.085e-10 9.631e-15 5.825e-10 
2.21 4 2.450e-01 2.071e-05 9.744e-06 6.505e-10 9.034e-15 6.259e-10 
2.31 1 2.463e-01 2.292e-05 1.010e-05 5.841e-10 1.005e-14 5.571e-10 
2.31 2 2.453e-01 2.188e-05 9.940e-06 6.124e-10 9.550e-15 5.866e-10 
2.31 3 2.455e-01 2.204e-05 9.969e-06 6.079e-10 9.629e-15 5.819e-10 
2.31 4 2.448e-01 2.072e-05 9.745e-06 6.494e-10 9.026e-15 6.248e-10 
2.41 1 2.462e-01 2.293e-05 1.010e-05 5.832e-10 1.005e-14 5.562e-10 
2.41 2 2.452e-01 2.189e-05 9.943e-06 6.116e-10 9.552e-15 5.858e-10 
2.41 3 2.454e-01 2.205e-05 9.971e-06 6.072e-10 9.629e-15 5.812e-10 
2.41 4 2.446e-01 2.073e-05 9.747e-06 6.484e-10 9.020e-15 6.238e-10 
2.51 1 2.462e-01 2.294e-05 1.011e-05 5.823e-10 1.006e-14 5.553e-10 
2.51 2 2.451e-01 2.191e-05 9.945e-06 6.108e-10 9.556e-15 5.850e-10 
2.51 3 2.453e-01 2.206e-05 9.972e-06 6.066e-10 9.630e-15 5.806e-10 
2.51 4 2.444e-01 2.074e-05 9.749e-06 6.473e-10 9.017e-15 6.228e-10 
2.61 1 2.462e-01 2.296e-05 1.011e-05 5.816e-10 1.006e-14 5.546e-10 
2.61 2 2.451e-01 2.193e-05 9.948e-06 6.100e-10 9.561e-15 5.842e-10 
2.61 3 2.452e-01 2.207e-05 9.974e-06 6.060e-10 9.632e-15 5.800e-10 
2.61 4 2.442e-01 2.076e-05 9.749e-06 6.464e-10 9.017e-15 6.219e-10 
2.71 1 2.461e-01 2.299e-05 1.011e-05 5.809e-10 1.007e-14 5.538e-10 
2.71 2 2.450e-01 2.195e-05 9.951e-06 6.093e-10 9.566e-15 5.834e-10 
2.71 3 2.452e-01 2.209e-05 9.977e-06 6.054e-10 9.635e-15 5.793e-10 
2.71 4 2.441e-01 2.077e-05 9.751e-06 6.454e-10 9.017e-15 6.209e-10 
2.81 1 2.461e-01 2.301e-05 1.011e-05 5.802e-10 1.008e-14 5.531e-10 
2.81 2 2.450e-01 2.197e-05 9.954e-06 6.085e-10 9.573e-15 5.826e-10 
2.81 3 2.451e-01 2.210e-05 9.979e-06 6.047e-10 9.639e-15 5.787e-10 
2.81 4 2.440e-01 2.079e-05 9.754e-06 6.444e-10 9.019e-15 6.199e-10 
2.91 1 2.461e-01 2.303e-05 1.011e-05 5.796e-10 1.009e-14 5.525e-10 
2.91 2 2.449e-01 2.199e-05 9.957e-06 6.077e-10 9.581e-15 5.819e-10 
2.91 3 2.451e-01 2.212e-05 9.981e-06 6.041e-10 9.644e-15 5.781e-10 
2.91 4 2.439e-01 2.081e-05 9.757e-06 6.435e-10 9.023e-15 6.189e-10 
3.01 1 2.461e-01 2.305e-05 1.012e-05 5.791e-10 1.010e-14 5.520e-10 
3.01 2 2.449e-01 2.201e-05 9.961e-06 6.070e-10 9.589e-15 5.811e-10 
3.01 3 2.451e-01 2.213e-05 9.984e-06 6.035e-10 9.650e-15 5.774e-10 
3.01 4 2.438e-01 2.083e-05 9.758e-06 6.425e-10 9.030e-15 6.181e-10 
3.11 1 2.461e-01 2.307e-05 1.012e-05 5.785e-10 1.011e-14 5.514e-10 
3.11 2 2.449e-01 2.203e-05 9.964e-06 6.062e-10 9.598e-15 5.803e-10 
3.11 3 2.451e-01 2.215e-05 9.987e-06 6.029e-10 9.657e-15 5.768e-10 
3.11 4 2.438e-01 2.085e-05 9.761e-06 6.416e-10 9.036e-15 6.171e-10 
3.21 1 2.461e-01 2.309e-05 1.012e-05 5.780e-10 1.012e-14 5.509e-10 
3.21 2 2.449e-01 2.206e-05 9.968e-06 6.055e-10 9.608e-15 5.796e-10 
3.21 3 2.450e-01 2.217e-05 9.989e-06 6.022e-10 9.664e-15 5.762e-10 
3.21 4 2.437e-01 2.083e-05 9.800e-06 6.396e-10 9.024e-15 6.150e-10 
3.31 1 2.461e-01 2.311e-05 1.012e-05 5.775e-10 1.012e-14 5.503e-10 
3.31 2 2.449e-01 2.208e-05 9.972e-06 6.048e-10 9.618e-15 5.788e-10 
3.31 3 2.450e-01 2.219e-05 9.992e-06 6.016e-10 9.672e-15 5.755e-10 
3.31 4 2.437e-01 2.090e-05 9.769e-06 6.398e-10 9.051e-15 6.153e-10 
3.41 1 2.461e-01 2.313e-05 1.012e-05 5.770e-10 1.013e-14 5.498e-10 
3.41 2 2.449e-01 2.211e-05 9.975e-06 6.040e-10 9.629e-15 5.780e-10 
